model,dataset,language,fertility,ece,accuracy
gemma4_12b,afrimmlu,amh,2.8622,0.3145,0.268
gemma4_12b,afrimmlu,ewe,2.4341,0.3736,0.252
gemma4_12b,afrimmlu,hau,1.9874,0.3087,0.308
gemma4_12b,afrimmlu,ibo,2.3815,0.3292,0.288
gemma4_12b,afrimmlu,kin,2.6199,0.3325,0.278
gemma4_12b,afrimmlu,lin,1.7089,0.365,0.264
gemma4_12b,afrimmlu,lug,2.9258,0.3346,0.268
gemma4_12b,afrimmlu,orm,2.8319,0.3463,0.258
gemma4_12b,afrimmlu,sna,2.9006,0.3688,0.248
gemma4_12b,afrimmlu,sot,1.8949,0.351,0.26
gemma4_12b,afrimmlu,swa,2.0435,0.3252,0.28
gemma4_12b,afrimmlu,twi,2.2802,0.3341,0.276
gemma4_12b,afrimmlu,wol,1.9735,0.3431,0.266
gemma4_12b,afrimmlu,xho,3.4389,0.3227,0.288
gemma4_12b,afrimmlu,yor,2.9536,0.349,0.25
gemma4_12b,afrimmlu,zul,3.295,0.3623,0.252
aya_expanse_8b,uhura_truthfulqa,eng,1.2046,0.0752,0.3585
aya_expanse_8b,uhura_truthfulqa,amh,9.3396,0.0765,0.3024
aya_expanse_8b,uhura_truthfulqa,swa,2.2742,0.2152,0.3135
aya_expanse_8b,uhura_truthfulqa,yor,2.818,0.1413,0.3511
aya_expanse_8b,afrimmlu,eng,1.2808,0.0572,0.52
aya_expanse_8b,afrimmlu,fra,1.438,0.0707,0.442
aya_expanse_8b,afrimmlu,amh,8.9343,0.1135,0.24
aya_expanse_8b,afrimmlu,ewe,2.673,0.2107,0.274
aya_expanse_8b,afrimmlu,hau,2.1448,0.1721,0.308
aya_expanse_8b,afrimmlu,ibo,2.6499,0.214,0.262
aya_expanse_8b,afrimmlu,kin,2.7,0.1718,0.286
aya_expanse_8b,afrimmlu,lin,1.7326,0.2061,0.304
aya_expanse_8b,afrimmlu,lug,2.984,0.1603,0.298
aya_expanse_8b,afrimmlu,orm,2.8699,0.1716,0.294
aya_expanse_8b,afrimmlu,sna,2.997,0.1926,0.294
aya_expanse_8b,afrimmlu,sot,1.9797,0.1835,0.304
aya_expanse_8b,afrimmlu,swa,2.2423,0.1512,0.312
aya_expanse_8b,afrimmlu,twi,2.4051,0.1745,0.296
aya_expanse_8b,afrimmlu,wol,2.0293,0.2118,0.276
aya_expanse_8b,afrimmlu,xho,3.5384,0.2171,0.256
aya_expanse_8b,afrimmlu,yor,3.1822,0.1544,0.3
aya_expanse_8b,afrimmlu,zul,3.3726,0.1733,0.292
afrollama_v1,uhura_truthfulqa,eng,1.2053,0.1774,0.2917
afrollama_v1,uhura_truthfulqa,amh,11.3041,0.1013,0.2936
afrollama_v1,uhura_truthfulqa,swa,2.4141,0.1218,0.3408
afrollama_v1,uhura_truthfulqa,yor,3.14,0.072,0.3708
afrollama_v1,afrimmlu,eng,1.2351,0.2246,0.356
afrollama_v1,afrimmlu,fra,1.6552,0.2675,0.28
afrollama_v1,afrimmlu,amh,10.6898,0.1473,0.258
afrollama_v1,afrimmlu,ewe,2.9348,0.2389,0.244
afrollama_v1,afrimmlu,hau,2.2715,0.1902,0.294
afrollama_v1,afrimmlu,ibo,2.6102,0.2448,0.252
afrollama_v1,afrimmlu,kin,2.7965,0.2178,0.258
afrollama_v1,afrimmlu,lin,1.8243,0.2223,0.286
afrollama_v1,afrimmlu,lug,3.0427,0.1665,0.296
afrollama_v1,afrimmlu,orm,3.0306,0.1989,0.274
afrollama_v1,afrimmlu,sna,3.138,0.2197,0.304
afrollama_v1,afrimmlu,sot,2.0295,0.2121,0.284
afrollama_v1,afrimmlu,swa,2.3312,0.1879,0.294
afrollama_v1,afrimmlu,twi,2.7788,0.2473,0.254
afrollama_v1,afrimmlu,wol,2.0548,0.2272,0.264
afrollama_v1,afrimmlu,xho,3.6508,0.1621,0.296
afrollama_v1,afrimmlu,yor,3.314,0.1922,0.29
afrollama_v1,afrimmlu,zul,3.5389,0.1715,0.31
